Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Octocoral.Black	Biota: Unconsolidated
NCB844	0.0	9.0	1.0	0.0	0.0	0.0	20.0	0.0	2.0	8.0
NCB845	0.0	2.0	3.0	0.0	0.0	2.0	18.0	2.0	0.0	0.0
NCB846	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB847	0.0	8.0	2.0	0.0	0.0	1.0	19.0	0.0	1.0	9.0
NCB848	0.0	5.0	0.0	0.0	0.0	1.0	19.0	NA	NA	NA
NCB849	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB850	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB851	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB852	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB853	0.0	4.0	4.0	1.0	0.0	0.0	20.0	0.0	5.0	4.0
NCB855	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB856	8.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB857	2.0	5.0	3.0	1.0	0.0	0.0	20.0	0.0	4.0	7.0
NCB858	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB859	9.0	1.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB860	0.0	13.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	13.0
NCB861	8.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	8.0
NCB862	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB863	1.0	4.0	6.0	0.0	0.0	0.0	20.0	0.0	6.0	5.0
NCB864	0.0	0.0	5.0	0.0	1.0	5.0	15.0	0.0	6.0	0.0
NCB865	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB866	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB867	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB868	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB869	4.0	4.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	8.0
NCB870	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB871	5.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	7.0
NCB872	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB873	2.0	8.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB874	3.0	5.0	2.0	0.0	0.0	0.0	20.0	0.0	1.0	9.0
NCB875	0.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB876	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB877	8.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB878	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB879	4.0	1.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB880	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0
NCB881	0.0	9.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	9.0
NCB882	4.0	1.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
NCB883	3.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0
