"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth_ga","detrended","roughness","tpi","cumsum.wi"
"biota.consolidated","depth_ga+roughness+tpi",880.711434344284,920.730757321317,0.04571,NA,12.9,0,0,0,1,1,1,0,1,1,1
"biota.macroalgae.detrended+roughness+tpi","detrended+roughness+tpi",995.815556977377,1028.79031051801,0.22355,NA,10.54,0,0,4.732,0.666,0.086,0,1,1,1,0.666
"biota.macroalgae.detrended+roughness","detrended+roughness",997.193687464749,1024.05830424821,0.22079,NA,8.52,0,1.378,0,0.334,0.914,0,1,1,0,1
"biota.stony.corals","detrended",179.707549898152,193.924913306759,0.10638,NA,4.44,0,0,0,0.545,0.872,0,1,0,0,0.545
"biota.unconsolidated","depth_ga+roughness+tpi",1461.6910292664,1501.72872564431,0.29023,NA,12.91,0,0,0,1,1,1,0,1,1,1
"mesophotic.reef","depth_ga+roughness+tpi",965.47758815298,1003.74169025916,0.2519,NA,12.31,0,0,2.401,0.988,0.231,1,0,1,1,0.988
"photic.reef","depth_ga+roughness+tpi",1029.82954826211,1062.26864325402,0.214,NA,10.36,0,0,0,0.984,0.677,1,0,1,1,0.984
