resp.var,depth,mean.relief,sd.relief,mesophotic.reef,photic.reef,tpi,roughness,detrended,status
total.abundance,-0.158,0.948,0,0,0,0.275,0.638,0.588,-0.066
species.richness,0.081,0.919,0,0,0,0.376,0.274,0.293,-0.37
