"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","mean.relief","sd.relief","mesophotic.reef","photic.reef","tpi","roughness","detrended","status","cumsum.wi"
"greater than legal size.mean.relief+roughness+tpi","mean.relief+roughness+tpi",1121.95093422098,1142.75247968779,0.274,NA,5.7,0,0,0.606,0.616,0.206,0,1,0,0,0,1,1,0,0,0.616
"greater than legal size.mean.relief+roughness","mean.relief+roughness",1123.8376075526,1142.14650101017,0.23287,NA,4.7,0,1.887,0,0.24,0.279,0,1,0,0,0,0,1,0,0,0.856
"smaller than legal size.depth+mean.relief+tpi","depth+mean.relief+tpi",600.138969833994,620.932067314446,0.20571,NA,5.69,0,0,3.258,0.367,0.068,1,1,0,0,0,1,0,0,0,0.367
"smaller than legal size.mean.relief+roughness","mean.relief+roughness",601.768655979009,617.673849278252,0.16795,NA,3.91,0,1.63,0,0.162,0.347,0,1,0,0,0,0,1,0,0,0.529
"smaller than legal size.depth+mean.relief","depth+mean.relief",601.840248882081,617.72761107061,0.16236,NA,3.88,0,1.701,0.054,0.157,0.337,1,1,0,0,0,0,0,0,0,0.686
