"","depth","mean.relief","sd.relief","mesophotic.reef","photic.reef","tpi","roughness","detrended","status"
"greater than legal size",1,0.999,0,0.001,0,0.573,0,0.109,0
"legal size atkinsoni",0.998,0.033,0,0.963,0,0.487,0,0.174,0
"legal size spango",0.121,0.097,0.138,0.37,0.264,0.147,0.009,0.287,0.75
"legal size trout",0.164,0,0,0,0.005,0.001,0.175,0,0.162
"smaller than legal size",0.999,0.436,0.002,0.557,0,0.091,0,0.764,0
"sublegal size atkinsoni",0.979,0.9,0.001,0.097,0.002,0.221,0.021,0.565,0
"sublegal size trout",0.996,0.422,0.118,0.459,0.002,0.191,0.003,0.169,0
