resp.var,modname,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,layer_depth,layer_detrended,layer_roughness,layer_tpi,cumsum.wi
biota.consolidated.layer_detrended,layer_detrended,1006.235686,1021.603979,0.05603,NA,4.81,0,108.143,78.018,0,0,0,1,0,0,1
biota.consolidated.layer_tpi,layer_tpi,1013.979211,1029.849721,0.03123,NA,4.97,0,115.887,86.263,0,0,0,0,0,1,1
biota.consolidated.layer_roughness+layer_tpi,layer_roughness+layer_tpi,1015.237999,1039.316689,0.03184,NA,7.61,0,117.146,95.73,0,0,0,0,1,1,1
biota.consolidated.layer_roughness,layer_roughness,1044.999803,1054.454819,0.00342,NA,2.94,0,146.908,110.868,0,0,0,0,1,0,1
biota.consolidated.null,null,1060.237648,1063.47409,0,NA,1,0,162.145,119.888,0,0,0,0,0,0,1
biota.macroalgae.layer_depth+layer_detrended+layer_roughness+layer_tpi,layer_depth+layer_detrended+layer_roughness+layer_tpi,1008.210176,1057.556583,0.1585,NA,16.12,0,0,0,0.997,0.671,1,1,1,1,0.997
biota.macroalgae.layer_depth+layer_detrended+layer_roughness,layer_depth+layer_detrended+layer_roughness,1019.875462,1058.983157,0.18961,NA,12.59,0,11.665,1.427,0.003,0.329,1,1,1,0,1
biota.macroalgae.layer_depth+layer_roughness+layer_tpi,layer_depth+layer_roughness+layer_tpi,1041.211825,1079.389983,0.14675,NA,12.28,0,33.002,21.833,0,0,1,0,1,1,1
biota.macroalgae.layer_depth+layer_roughness,layer_depth+layer_roughness,1055.430047,1082.917692,0.16862,NA,8.72,0,47.22,25.361,0,0,1,0,1,0,1
biota.macroalgae.layer_detrended+layer_roughness+layer_tpi,layer_detrended+layer_roughness+layer_tpi,1079.069392,1119.062399,0.08736,NA,12.89,0,70.859,61.506,0,0,0,1,1,1,1
biota.macroalgae.layer_roughness+layer_tpi,layer_roughness+layer_tpi,1103.55761,1131.755381,0.07978,NA,8.96,0,95.347,74.199,0,0,0,0,1,1,1
biota.macroalgae.layer_depth+layer_detrended+layer_tpi,layer_depth+layer_detrended+layer_tpi,1104.722513,1143.744679,0.11634,NA,12.57,0,96.512,86.188,0,0,1,1,0,1,1
biota.macroalgae.layer_depth+layer_tpi,layer_depth+layer_tpi,1123.014645,1150.484337,0.10431,NA,8.72,0,114.804,92.928,0,0,1,0,0,1,1
biota.macroalgae.layer_depth+layer_detrended,layer_depth+layer_detrended,1147.565662,1175.119856,0.1405,NA,8.75,0,139.355,117.563,0,0,1,1,0,0,1
biota.macroalgae.layer_depth,layer_depth,1169.396323,1184.999475,0.12048,NA,4.88,0,161.186,127.443,0,0,1,0,0,0,1
biota.macroalgae.layer_detrended+layer_tpi,layer_detrended+layer_tpi,1188.191838,1216.223398,0.04536,NA,8.9,0,179.982,158.667,0,0,0,1,0,1,1
biota.macroalgae.layer_detrended+layer_roughness,layer_detrended+layer_roughness,1192.949161,1221.070038,0.10705,NA,8.93,0,184.739,163.513,0,0,0,1,1,0,1
biota.macroalgae.layer_tpi,layer_tpi,1203.963171,1219.889344,0.03729,NA,4.99,0,195.753,162.333,0,0,0,0,0,1,1
biota.stony.corals.layer_depth+layer_detrended+layer_roughness,layer_depth+layer_detrended+layer_roughness,189.7880516,218.6795987,0.02363,NA,9.19,0,0,4.875,0.941,0.063,1,1,1,0,0.941
biota.stony.corals.layer_depth+layer_roughness,layer_depth+layer_roughness,195.5716151,213.8045948,0.02362,NA,5.72,0,5.784,0,0.052,0.717,1,0,1,0,0.993
biota.stony.corals.layer_depth+layer_detrended+layer_roughness+layer_tpi,layer_depth+layer_detrended+layer_roughness+layer_tpi,200.6195512,228.5628612,0.06455,NA,8.87,0,10.831,14.758,0.004,0,1,1,1,1,0.997
biota.stony.corals.layer_depth+layer_detrended+layer_tpi,layer_depth+layer_detrended+layer_tpi,202.4544816,220.8051378,0.06172,NA,5.76,0,12.666,7.001,0.002,0.022,1,1,0,1,0.999
