"campaignid","sample","family","genus","species","length","number","range"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Haemulidae","Plectorhinchus","flavomaculatus",413.12482,1,1568.382
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Labridae","Halichoeres","melanochir",125.50048,1,1511.05078
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Labridae","Halichoeres","melanochir",81.93238,1,1110.87458
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Chaetodontidae","Chaetodon","lunula",164.91954,1,1609.96909
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Chaetodontidae","Chaetodon","lunula",160.5982,1,1819.52957
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Serranidae","Epinephelus","fasciatus",162.90188,1,1881.86334
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Serranidae","Epinephelus","fasciatus",137.31364,1,1804.05517
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Siganidae","Siganus","punctatus",298.13253,1,1852.37081
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Scaridae","Scarus","sp3",210.40277,1,2187.94724
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Pomacanthidae","Pomacanthus","sexstriatus",194.83812,1,3096.50519
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Mullidae","Parupeneus","heptacanthus",172.02103,1,2112.49142
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Mullidae","Parupeneus","heptacanthus",177.4635,1,2037.22688
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Nemipteridae","Scolopsis","monogramma",243.25268,1,3517.0283
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Lutjanidae","Symphorus","nematophorus",628.54783,1,2971.62569
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Lutjanidae","Symphorus","nematophorus",614.85895,1,2947.44652
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carcharhinidae","Carcharhinus","amblyrhynchos",1138.87913,1,4382.16437
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Nemipteridae","Pentapodus","emeryii",213.83514,1,2456.3823
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Nemipteridae","Pentapodus","emeryii",187.47125,1,2285.98857
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Nemipteridae","Pentapodus","emeryii",208.34289,1,2091.22124
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Nemipteridae","Pentapodus","emeryii",234.77048,1,1336.0659
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Labridae","Choerodon","schoenleinii",528.37718,1,3664.18896
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Scaridae","Scarus","sp3",243.13736,1,2297.39329
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Lethrinidae","Lethrinus","atkinsoni",256.44628,1,1717.04263
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Lethrinidae","Lethrinus","atkinsoni",237.24675,1,1300.6293
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Lethrinidae","Lethrinus","atkinsoni",216.93372,1,1646.99464
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Lethrinidae","Lethrinus","atkinsoni",258.48507,1,2884.95315
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Pomacentridae","Pomacentrus","coelestis",52.5463,2,1849.27523
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Pomacentridae","Pomacentrus","coelestis",69.22276,2,1656.8672
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Pomacentridae","Pomacentrus","coelestis",70.72824,2,1741.58646
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Pomacentridae","Pomacentrus","coelestis",70.60735,2,1720.53834
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Pomacentridae","Pomacentrus","coelestis",65.95067,2,2158.89542
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",619.95726,1,2334.85406
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Carangoides","fulvoguttatus",533.28928,1,1911.64381
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",633.02343,1,1961.36622
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",542.57401,1,1999.45636
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Carangoides","fulvoguttatus",537.4554,1,1444.73593
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",580.88902,1,1725.76386
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Carangoides","fulvoguttatus",534.92448,1,1689.17759
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",589.25291,1,1772.75324
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Carangoides","fulvoguttatus",516.35337,1,1863.47659
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",565.85918,1,2002.86894
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",574.32622,1,1382.53105
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",583.11871,1,1752.00759
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Gnathanodon","speciosus",565.607,1,1977.41212
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Carangidae","Carangoides","fulvoguttatus",534.21601,1,2311.50864
