"","depth","mean.relief","sd.relief","reef","status"
"targeted.abundance",0.995,0.828,0.081,0.004,0.004
"Lethrinus atkinsoni",0.179,0.186,0.404,0.184,0.205
"Pomacentrus coelestis",0.143,0.503,0.118,0.175,0.437
"Chromis fumea",0.201,0.137,0.401,0.347,0.288
"total.abundance",0.986,0.99,0.004,0.005,0.007
"species.richness",0.325,0.958,0,0,0.223
