"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","mean.relief","sd.relief","reef","status","cumsum.wi"
"Lethrinus atkinsoni.mean.relief+status","mean.relief+status",414.446060100774,425.322479846467,0.04968,NA,3.36,0,3.45,6.852,0.031,0.01,0,1,0,0,1,0.827
"Lethrinus atkinsoni.reef+status","reef+status",414.4521116981,426.244461788699,0.05221,NA,3.87,0,3.456,7.774,0.031,0.006,0,0,0,1,1,0.858
"Lethrinus atkinsoni.sd.relief.by.status+status","sd.relief.by.status+status",414.809584544984,426.673862522662,0.06589,NA,4.12,0,3.814,8.203,0.026,0.005,0,0,1,0,1,0.884
"Lethrinus atkinsoni.reef+sd.relief+status","reef+sd.relief+status",414.884059735626,427.747662652231,0.0751,NA,4.54,0,3.888,9.277,0.025,0.003,0,0,1,1,1,0.909
"Lethrinus atkinsoni.depth+reef","depth+reef",414.954043195032,426.678336899324,0.04037,NA,3.82,0,3.958,8.207,0.024,0.005,1,0,0,1,0,0.933
"Lethrinus atkinsoni.depth+reef+sd.relief","depth+reef+sd.relief",415.217143056168,427.894207443689,0.06002,NA,4.44,0,4.221,9.423,0.021,0.003,1,0,1,1,0,0.954
"Lethrinus atkinsoni.reef.by.status+status","reef.by.status+status",415.81445156844,429.336255104506,0.06416,NA,4.96,0,4.819,10.865,0.016,0.001,0,0,0,1,1,0.97
"Lethrinus atkinsoni.reef.by.status+sd.relief+status","reef.by.status+sd.relief+status",416.271640260067,430.931946771121,0.08917,NA,5.69,0,5.276,12.461,0.012,0.001,0,0,1,1,1,0.982
"Lethrinus atkinsoni.mean.relief.by.status+status","mean.relief.by.status+status",417.162819743077,430.364975744836,0.05748,NA,4.65,0,6.167,11.894,0.008,0.001,0,1,0,0,1,0.99
"Lethrinus atkinsoni.reef+sd.relief.by.status+status","reef+sd.relief.by.status+status",417.517746083222,432.589517863543,0.08601,NA,5.81,0,6.522,14.119,0.007,0,0,0,1,1,1,0.997
"Lethrinus atkinsoni.reef.by.status+sd.relief.by.status+status","reef.by.status+sd.relief.by.status+status",418.37476357522,434.774075672031,0.09795,NA,6.85,0,7.379,16.303,0.004,0,0,0,1,1,1,1.001
"Pomacentrus coelestis.mean.relief.by.status+status","mean.relief.by.status+status",418.67959769883,431.343310767673,0.12821,NA,6.19,0,0,4.827,0.344,0.046,0,1,0,0,1,0.344
"Pomacentrus coelestis.reef","reef",421.135176690338,431.624301906762,0.02125,NA,4.31,0,2.456,5.108,0.101,0.04,0,0,0,1,0,0.445
"Pomacentrus coelestis.null","null",421.231465018301,426.516303618602,0,NA,1,0,2.552,0,0.096,0.515,0,0,0,0,0,0.541
"Pomacentrus coelestis.mean.relief","mean.relief",421.486002548184,431.368723940728,0.06334,NA,3.66,0,2.806,4.852,0.085,0.046,0,1,0,0,0,0.626
