"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB560","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB575","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB561","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB586","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB590","Apogonidae","Ostorhinchus","cavitiensis","Apogonidae","Ostorhinchus","cavitensis"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB597","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB582","Dasyatidae","Himantura","jenkinsii","Dasyatidae","Pateobatis","jenkinsii"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB582","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB584","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB546","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB557","Dasyatidae","Taeniura","meyeni","Dasyatidae","Taeniurops","meyeni"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB558","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Dasyatidae","Himantura","fai","Dasyatidae","Pateobatis","fai"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB588","Pomacentridae","Neopomacentrus","filamentosus","Pomacentridae","Neopomacentrus","aktites"
"2015-01_Montebello.transect_stereoBRUVs","NCB640","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB691","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB719","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2015-01_Montebello.transect_stereoBRUVs","NCB681","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2015-01_Montebello.transect_stereoBRUVs","NCB630","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB712","Tetraodontidae","Canthigaster","coronata","Tetraodontidae","Canthigaster","axiologus"
"2015-01_Montebello.transect_stereoBRUVs","NCB666","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB689","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB642","Tetraodontidae","Canthigaster","coronata","Tetraodontidae","Canthigaster","axiologus"
"2015-01_Montebello.transect_stereoBRUVs","NCB619","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB686","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Tetraodontidae","Canthigaster","coronata","Tetraodontidae","Canthigaster","axiologus"
"2015-01_Montebello.transect_stereoBRUVs","NCB703","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2015-01_Montebello.transect_stereoBRUVs","NCB683","Rhinobatidae","Glaucostegus","typus","Glaucostegidae","Glaucostegus","typus"
"2015-01_Montebello.transect_stereoBRUVs","NCB615","Tetraodontidae","Canthigaster","coronata","Tetraodontidae","Canthigaster","axiologus"
"2015-01_Montebello.transect_stereoBRUVs","NCB615","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB653","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2015-01_Montebello.transect_stereoBRUVs","NCB616","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2015-01_Montebello.transect_stereoBRUVs","NCB633","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2015-01_Montebello.transect_stereoBRUVs","NCB701","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"2015-01_Montebello.transect_stereoBRUVs","NCB632","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB591","Latidae","Psammoperca","waigiensis","Latidae","Psammoperca","datnioides"
