"campaignid","sample","family","genus","species"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB553","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB571","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB575","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB556","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB548","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB548","Labridae","Anampses","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB563","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB592","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB577","Blenniidae","Unknown","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB577","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB564","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB550","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB595","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB539","Blenniidae","Ecsenius","sp10"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB543","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB597","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB554","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566","Blenniidae","Unknown","sp1"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB566","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB557","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Scaridae","Scarus","sp3"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB573","Scaridae","Scarus","sp3"
