"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Labridae","Hemigymnus","fasciatus",294.11084,45,255,300,"too big",39.11084,98.0369466666667
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB559","Scaridae","Chlorurus","rhakoura",403.66354,66.3,375.7,442,"too big",27.96354,91.326592760181
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Chlorurus","rhakoura",385.05911,66.3,375.7,442,"too big",9.35910999999999,87.1174457013575
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Chlorurus","rhakoura",453.60722,66.3,375.7,442,"too big",77.90722,102.626067873303
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Acanthuridae","Acanthurus","nigrofuscus",189.6761,31.5,178.5,210,"too big",11.1761,90.3219523809524
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Labridae","Hologymnosus","annulatus",341.74517,60,340,400,"too big",1.74516999999997,85.4362925
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Pomacentridae","Pomacentrus","coelestis",80.18024,13.5,76.5,90,"too big",3.68024,89.0891555555555
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Tetraodontidae","Feroxodon","multistriatus",450.79424,58.5,331.5,390,"too big",119.29424,115.588266666667
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB605","Trichonotidae","Trichonotus","setiger",208.9439,33,187,220,"too big",21.9439,94.9745
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB571","Labridae","Thalassoma","lunare",58.95939,67.5,382.5,450,"too small",8.54061,13.1020866666667
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Pomacentridae","Pomacentrus","coelestis",86.65298,13.5,76.5,90,"too big",10.15298,96.2810888888889
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Nemipteridae","Scolopsis","monogramma",345.64956,57,323,380,"too big",22.64956,90.9604105263158
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Cirrhilabrus","temminckii",99.73111,17.4,98.6,116,"too big",1.13111000000001,85.9750948275862
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Cirrhilabrus","temminckii",107.95667,17.4,98.6,116,"too big",9.35667000000001,93.0660948275862
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB560","Dasyatidae","Neotrygon","australiae",350.76599,61.5,348.5,410,"too big",2.26598999999999,85.5526804878049
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Echeneidae","Echeneis","naucrates",134.58922,165,935,1100,"too small",30.41078,12.2353836363636
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",39.50801,40.5,229.5,270,"too small",0.991990000000001,14.6325962962963
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",38.15422,40.5,229.5,270,"too small",2.34578,14.1311925925926
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",39.28501,40.5,229.5,270,"too small",1.21499,14.5500037037037
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",35.66417,40.5,229.5,270,"too small",4.83583,13.2089518518519
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",37.64885,40.5,229.5,270,"too small",2.85115,13.9440185185185
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",35.95423,40.5,229.5,270,"too small",4.54577,13.3163814814815
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",34.67715,40.5,229.5,270,"too small",5.82285,12.8433888888889
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",40.36475,40.5,229.5,270,"too small",0.135249999999999,14.9499074074074
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",35.75613,40.5,229.5,270,"too small",4.74387,13.2430111111111
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB585","Nemipteridae","Pentapodus","porosus",29.05757,40.5,229.5,270,"too small",11.44243,10.762062962963
