Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,MaxN Analyst,Length Analyst,Visibility,DateTimeIn,OpCode_1,COMPONENT,Date Deployed dd/mm/yyy,Depth (m),Left Cam,Right Cam,Time In,Latitude_1,Longitude_1,Location_1,Status_1,DateTimeIn_1,Habitat Image,Vis (m),Habitat Classification,MaxN.complete.(dd/mm/yy),MaxN.Checker,Length complete Date dd/mm/yyyy,QA/QC video specific changes,Notes,Footage Success,Video notes,Raw HDD #,Con HDD #
NCB531,-20.53742333,115.4458033,20141029,10:21:00,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,NA,Todd,MB,3.5,29/10/2014 10:21:00,NCB531,Montebello SANCTUARIES,29/10/2014,9.2,418,419,10.21,-20.53742333,115.4458033,SW Montebello Sanctuary,NoTake,29/10/2014 10:21:00,Y,3.5,ET,19/02/2015,MB,05/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB532,-20.54477167,115.4574133,20141029,10:28:00,SW.Montebello.Sanctuary,No-take,3,8,Todd,Yes,Yes,NA,Todd,MB,3.5,29/10/2014 10:28:00,NCB532,Montebello SANCTUARIES,29/10/2014,8,422,423,10.28,-20.54477167,115.4574133,SW Montebello Sanctuary,NoTake,29/10/2014 10:28:00,Y,3.5,ET,06/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB533,-20.54879,115.4697,20141029,10:34:00,SW.Montebello.Sanctuary,No-take,3,9.2,Todd,Yes,Yes,NA,Todd,MB,4,29/10/2014 10:34:00,NCB533,Montebello SANCTUARIES,29/10/2014,9.2,420,421,10.34,-20.54879,115.4697,SW Montebello Sanctuary,NoTake,29/10/2014 10:34:00,Y,4,ET,06/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB534,-20.51263667,115.4801367,20141029,10:48:00,SW.Montebello.Sanctuary,No-take,4,8,Todd,Yes,Yes,NA,Todd,MB,5.5,29/10/2014 10:48:00,NCB534,Montebello SANCTUARIES,29/10/2014,8,416,417,10.48,-20.51263667,115.4801367,SW Montebello Sanctuary,NoTake,29/10/2014 10:48:00,Y,5.5,ET,06/02/2015,MB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB535,-20.514815,115.4677083,20141029,10:54:00,SW.Montebello.Sanctuary,No-take,4,9.6,Todd,Yes,Yes,NA,Todd,MB,3.5,29/10/2014 10:54:00,NCB535,Montebello SANCTUARIES,29/10/2014,9.6,B1,B2,10.54,-20.514815,115.4677083,SW Montebello Sanctuary,NoTake,29/10/2014 10:54:00,Y,3.5,ET,05/02/2015,MB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB536,-20.51856667,115.4561783,20141029,10:59:00,SW.Montebello.Sanctuary,No-take,4,9.4,Todd,Yes,Yes,NA,Todd,MB,4.5,29/10/2014 10:59:00,NCB536,Montebello SANCTUARIES,29/10/2014,9.4,367,368,10.59,-20.51856667,115.4561783,SW Montebello Sanctuary,NoTake,29/10/2014 10:59:00,Y,4.5,ET,05/02/2015,MB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB537,-20.51351333,115.4495533,20141029,11:05:00,SW.Montebello.Sanctuary,No-take,5,10.1,Todd,Yes,Yes,NA,Todd,MB,5.5,29/10/2014 11:05:00,NCB537,Montebello SANCTUARIES,29/10/2014,10.1,373,374,11.05,-20.51351333,115.4495533,SW Montebello Sanctuary,NoTake,29/10/2014 11:05:00,Y,5.5,ET,04/02/2015,MB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB538,-20.503515,115.4448933,20141029,11:01:00,SW.Montebello.Sanctuary,No-take,5,10,Todd,Yes,No,NA,Todd,NA,4.5,29/10/2014 11:01:00,NCB538,Montebello SANCTUARIES,29/10/2014,10,375,376,11.1,-20.503515,115.4448933,SW Montebello Sanctuary,NoTake,29/10/2014 11:01:00,Y,4.5,ET,03/02/2015,KB,NA,NA,NA,Left cam fail,NA,NA,1411_NCB_B_CONV10
NCB539,-20.49274333,115.4475433,20141029,11:15:00,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,Yes,NA,Todd,MB,5,29/10/2014 11:15:00,NCB539,Montebello SANCTUARIES,29/10/2014,10.4,377,378,11.15,-20.49274333,115.4475433,SW Montebello Sanctuary,NoTake,29/10/2014 11:15:00,Y,5,ET,03/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB540,-20.48459,115.4523683,20141029,11:19:00,SW.Montebello.Sanctuary,No-take,5,10.4,Todd,Yes,No,NA,Todd,NA,4,29/10/2014 11:19:00,NCB540,Montebello SANCTUARIES,29/10/2014,10.4,371,372,11.19,-20.48459,115.4523683,SW Montebello Sanctuary,NoTake,29/10/2014 11:19:00,Y,4,ET,03/02/2015,KB,NA,NA,NA,Right cam fail,NA,NA,1411_NCB_B_CONV10
NCB541,-20.45731333,115.46351,20141029,13:02:00,SW.Montebello.Sanctuary,No-take,6,10.3,Matt,Yes,Yes,NA,Matt,Todd,4.5,29/10/2014 13:02:00,NCB541,Montebello SANCTUARIES,29/10/2014,10.3,422,423,13.02,-20.45731333,115.46351,SW Montebello Sanctuary,NoTake,29/10/2014 13:02:00,Y,4.5,ET,19/02/2015,TB,26/02/2015,NA,Bait gone 25mins,NA,NA,NA,1411_NCB_B_CONV10
NCB542,-20.45141167,115.4658633,20141029,13:06:00,SW.Montebello.Sanctuary,No-take,6,8.5,Katrina,Yes,Yes,NA,Katrina,Emma,4.5,29/10/2014 13:06:00,NCB542,Montebello SANCTUARIES,29/10/2014,8.5,418,419,13.06,-20.45141167,115.4658633,SW Montebello Sanctuary,NoTake,29/10/2014 13:06:00,Y,4.5,ET,20/02/2015,MB,25/02/2015,Changed S. virgatus to S. doliatus. as they often form hybrids....,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB543,-20.44637667,115.4674667,20141029,13:07:00,SW.Montebello.Sanctuary,No-take,6,9.5,Matt,Yes,Yes,NA,Matt,Emma,5,29/10/2014 13:07:00,NCB543,Montebello SANCTUARIES,29/10/2014,9.5,420,421,13.07,-20.44637667,115.4674667,SW Montebello Sanctuary,NoTake,29/10/2014 13:07:00,Y,5,ET,23/02/2015,ET,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB544,-20.44036,115.4730217,20141029,13:11:00,SW.Montebello.Sanctuary,No-take,6,9.4,Katrina,Yes,Yes,NA,Katrina,Emma,4,29/10/2014 13:11:00,NCB544,Montebello SANCTUARIES,29/10/2014,9.4,416,417,13.11,-20.44036,115.4730217,SW Montebello Sanctuary,NoTake,29/10/2014 13:11:00,Y,4,ET,23/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB545,-20.4358,115.4761217,20141029,13:15:00,SW.Montebello.Sanctuary,No-take,6,9.1,Todd,Yes,Yes,NA,Todd,MB,4.5,29/10/2014 13:15:00,NCB545,Montebello SANCTUARIES,29/10/2014,9.1,373,374,13.15,-20.4358,115.4761217,SW Montebello Sanctuary,NoTake,29/10/2014 13:15:00,Y,4.5,ET,23/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB546,-20.42827833,115.478225,20141029,13:02:00,NW.Montebello,Fished,7,9.7,Todd,Yes,Yes,NA,Todd,MB,6,29/10/2014 13:02:00,NCB546,Montebello SANCTUARIES,29/10/2014,9.7,367,368,13.2,-20.42827833,115.478225,NW Montebello,Fished,29/10/2014 13:02:00,Y,6,ET,20/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB547,-20.42313167,115.4844617,20141029,13:23:00,NW.Montebello,Fished,7,11.9,Todd,Yes,Yes,NA,Todd,MB,4,29/10/2014 13:23:00,NCB547,Montebello SANCTUARIES,29/10/2014,11.9,B1,B2,13.23,-20.42313167,115.4844617,NW Montebello,Fished,29/10/2014 13:23:00,Y,4,ET,20/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB548,-20.42086667,115.4866733,20141029,13:29:00,NW.Montebello,Fished,7,9.7,Todd,Yes,Yes,NA,Todd,MB,4.5,29/10/2014 13:29:00,NCB548,Montebello SANCTUARIES,29/10/2014,9.7,377,378,13.29,-20.42086667,115.4866733,NW Montebello,Fished,29/10/2014 13:29:00,Y,4.5,ET,20/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB549,-20.41598833,115.49133,20141029,13:33:00,NW.Montebello,Fished,7,8.6,Katrina,Yes,Yes,NA,Katrina,Emma,4.5,29/10/2014 13:33:00,NCB549,Montebello SANCTUARIES,29/10/2014,8.6,375,376,13.33,-20.41598833,115.49133,NW Montebello,Fished,29/10/2014 13:33:00,Y,4.5,ET,23/02/2015,TB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB550,-20.40909333,115.4897267,20141029,13:39:00,NW.Montebello,Fished,7,10.2,Todd,Yes,Yes,NA,Todd,MB,4,29/10/2014 13:39:00,NCB550,Montebello SANCTUARIES,29/10/2014,10.2,371,372,13.39,-20.40909333,115.4897267,NW Montebello,Fished,29/10/2014 13:39:00,Y,4,ET,23/02/2015,MB,03/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB551,-20.404815,115.4870917,20141029,15:05:00,NW.Montebello,Fished,8,9,Matt,Yes,Yes,NA,Matt,Todd,4,29/10/2014 15:05:00,NCB551,Montebello SANCTUARIES,29/10/2014,9,418,419,15.05,-20.404815,115.4870917,NW Montebello,Fished,29/10/2014 15:05:00,Y,4,ET,23/02/2015,TB,27/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB552,-20.40097833,115.491675,20141029,15:07:00,NW.Montebello,Fished,8,9.1,Katrina,Yes,Yes,NA,Katrina,Emma,4,29/10/2014 15:07:00,NCB552,Montebello SANCTUARIES,29/10/2014,9.1,422,423,15.07,-20.40097833,115.491675,NW Montebello,Fished,29/10/2014 15:07:00,Y,4,ET,24/02/2015,TB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB553,-20.39478667,115.491335,20141029,15:11:00,NW.Montebello,Fished,8,10.7,Todd,Yes,Yes,NA,Todd,MB,4.5,29/10/2014 15:11:00,NCB553,Montebello SANCTUARIES,29/10/2014,10.7,420,421,15.11,-20.39478667,115.491335,NW Montebello,Fished,29/10/2014 15:11:00,Y,4.5,ET,23/02/2015,MB,03/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB554,-20.38344,115.4920867,20141029,15:28:00,NW.Montebello,Fished,8,12.3,Emma,Yes,Yes,NA,Emma,Todd,4.5,29/10/2014 15:28:00,NCB554,Montebello SANCTUARIES,29/10/2014,12.3,416,417,15.28,-20.38344,115.4920867,NW Montebello,Fished,29/10/2014 15:28:00,Y,4.5,ET,20/02/2015,TB,02/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB555,-20.37749833,115.4973267,20141029,15:32:00,NW.Montebello,Fished,8,9.5,Emma,Yes,Yes,NA,Emma,Todd,4.5,29/10/2014 15:32:00,NCB555,Montebello SANCTUARIES,29/10/2014,9.5,B1,B2,15.32,-20.37749833,115.4973267,NW Montebello,Fished,29/10/2014 15:32:00,Y,4.5,ET,19/02/2015,TB,04/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB556,-20.37015941,115.4968709,20141029,15:41:00,N.Montebello.Sanctuary,No-take,9,12.6,Emma,Yes,Yes,NA,Emma,Matt,5,29/10/2014 15:41:00,NCB556,Montebello SANCTUARIES,29/10/2014,12.6,367,368,15.41,-20.37015941,115.4968709,N Montebello Sanctuary,NoTake,29/10/2014 15:41:00,Y,5,ET,23/02/2015,MB,03/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB557,-20.36579667,115.498375,20141029,15:44:00,N.Montebello.Sanctuary,No-take,9,8.3,Emma,Yes,Yes,NA,Emma,Katrina,7,29/10/2014 15:44:00,NCB557,Montebello SANCTUARIES,29/10/2014,8.3,373,374,15.44,-20.36579667,115.498375,N Montebello Sanctuary,NoTake,29/10/2014 15:44:00,Y,7,ET,23/02/2015,KB,03/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB558,-20.36098333,115.5019183,20141029,15:47:00,N.Montebello.Sanctuary,No-take,9,11.5,Katrina,Yes,Yes,NA,Katrina,Emma,4.5,29/10/2014 15:47:00,NCB558,Montebello SANCTUARIES,29/10/2014,11.5,375,376,15.47,-20.36098333,115.5019183,N Montebello Sanctuary,NoTake,29/10/2014 15:47:00,Y,4.5,ET,04/02/2015,MB,25/02/2015,NA,NA,NA,Bait arm snapped at 25.08 grey reefy,NCB BRUVs OCT 2014 - RAW HD 1,1411_NCB_B_CONV9
NCB559,-20.35543,115.5017033,20141029,15:52:00,N.Montebello.Sanctuary,No-take,9,9,Katrina,Yes,Yes,NA,Katrina,Emma,4.5,29/10/2014 15:52:00,NCB559,Montebello SANCTUARIES,29/10/2014,9,377,378,15.52,-20.35543,115.5017033,N Montebello Sanctuary,NoTake,29/10/2014 15:52:00,Y,4.5,ET,05/02/2015,MB,25/02/2015,NA,NA,NA,NA,NCB BRUVs OCT 2014 - RAW HD 1,1411_NCB_B_CONV9
NCB560,-20.34991167,115.500005,20141029,15:56:00,N.Montebello.Sanctuary,No-take,10,11.8,Katrina,Yes,Yes,NA,Katrina,Emma,5.5,29/10/2014 15:56:00,NCB560,Montebello SANCTUARIES,29/10/2014,11.8,371,372,15.56,-20.34991167,115.500005,N Montebello Sanctuary,NoTake,29/10/2014 15:56:00,Y,5.5,ET,05/02/2015,MB,25/02/2015,NA,NA,NA,NA,NCB BRUVs OCT 2014 - RAW HD 1,1411_NCB_B_CONV9
NCB561,-20.34493667,115.500575,20141030,7:31:00,N.Montebello.Sanctuary,No-take,10,12.4,ET,Yes,Yes,NA,ET,Katrina,5.5,30/10/2014 07:31:00,NCB561,Montebello SANCTUARIES,30/10/2014,12.4,422,423,7.31,-20.34493667,115.500575,N Montebello Sanctuary,NoTake,30/10/2014 07:31:00,Y,5.5,ET,02/02/2015,TB,24/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB562,-20.34061833,115.50644,20141030,7:35:00,N.Montebello.Sanctuary,No-take,10,12.8,ET,Yes,Yes,NA,ET,Katrina,6,30/10/2014 07:35:00,NCB562,Montebello SANCTUARIES,30/10/2014,12.8,418,419,7.35,-20.34061833,115.50644,N Montebello Sanctuary,NoTake,30/10/2014 07:35:00,Y,6,ET,30/01/2015,KB,03/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB563,-20.34109667,115.5150517,20141030,7:39:00,N.Montebello.Sanctuary,No-take,11,11.7,ET,Yes,Yes,NA,ET,Katrina,6,30/10/2014 07:39:00,NCB563,Montebello SANCTUARIES,30/10/2014,11.7,420,421,7.39,-20.34109667,115.5150517,N Montebello Sanctuary,NoTake,30/10/2014 07:39:00,Y,6,ET,30/01/2015,KB,02/03/2015,NA,NA,NA,skips a frame slightly at the join but holds sync,NA,1411_NCB_B_CONV9
NCB564,-20.342325,115.52405,20141030,7:46:00,N.Montebello.Sanctuary,No-take,11,10.9,ET,Yes,Yes,NA,ET,Katrina,6.5,30/10/2014 07:46:00,NCB564,Montebello SANCTUARIES,30/10/2014,10.9,416,417,7.46,-20.342325,115.52405,N Montebello Sanctuary,NoTake,30/10/2014 07:46:00,Y,6.5,ET,02/02/2015,KB,02/03/2015,NA,NA,NA,Facing up slightly. but okay,NA,1411_NCB_B_CONV9
NCB565,-20.345615,115.5346833,20141030,7:52:00,N.Montebello.Sanctuary,No-take,11,12.7,ET,Yes,Yes,NA,ET,Katrina,8,30/10/2014 07:52:00,NCB565,Montebello SANCTUARIES,30/10/2014,12.7,373,374,7.52,-20.345615,115.5346833,N Montebello Sanctuary,NoTake,30/10/2014 07:52:00,Y,8,ET,03/02/2015,TB,24/02/2015,Could not measure Balistoides viridescens - but maxn kept in emob,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB566,-20.35170167,115.5446517,20141030,7:56:00,N.Montebello.Sanctuary,No-take,11,9.1,ET,Yes,Yes,NA,ET,Katrina,7.5,30/10/2014 07:56:00,NCB566,Montebello SANCTUARIES,30/10/2014,9.1,367,368,7.56,-20.35170167,115.5446517,N Montebello Sanctuary,NoTake,30/10/2014 07:56:00,Y,7.5,ET,03/02/2015,TB,24/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB567,-20.35786333,115.5522567,20141030,8:00:00,NE.Montebello,Fished,12,10.7,Matt,Yes,Yes,NA,Matt,Todd,7,30/10/2014 08:00:00,NCB567,Montebello SANCTUARIES,30/10/2014,10.7,B1,B2,8,-20.35786333,115.5522567,NE Montebello,Fished,30/10/2014 08:00:00,Y,7,ET,06/02/2015,TB,02/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB568,-20.36466667,115.5617117,20141030,8:05:00,NE.Montebello,Fished,12,9.8,Katrina,Yes,Yes,NA,Katrina,Emma,7,30/10/2014 08:05:00,NCB568,Montebello SANCTUARIES,30/10/2014,9.8,377,378,8.05,-20.36466667,115.5617117,NE Montebello,Fished,30/10/2014 08:05:00,Y,7,ET,03/02/2015,MB,25/02/2015,NA,NA,NA,Facing up a bit but OKAY,NA,1411_NCB_B_CONV9
NCB569,-20.37152,115.5689683,20141030,8:09:00,NE.Montebello,Fished,12,11.9,Matt,Yes,Yes,NA,Matt,Emma,6,30/10/2014 08:09:00,NCB569,Montebello SANCTUARIES,30/10/2014,11.9,375,376,8.09,-20.37152,115.5689683,NE Montebello,Fished,30/10/2014 08:09:00,Y,6,ET,03/02/2015,ET,27/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB570,-20.37763333,115.5736667,20141030,8:12:00,NE.Montebello,Fished,12,9.7,Katrina,Yes,Yes,NA,Katrina,Emma,6.5,30/10/2014 08:12:00,NCB570,Montebello SANCTUARIES,30/10/2014,9.7,371,372,8.12,-20.37763333,115.5736667,NE Montebello,Fished,30/10/2014 08:12:00,Y,6.5,ET,03/02/2015,MB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB571,-20.381915,115.5774317,20141030,9:39:00,NE.Montebello,Fished,12,12.1,Matt,Yes,Yes,NA,Matt,Emma,5.5,30/10/2014 09:39:00,NCB571,Montebello SANCTUARIES,30/10/2014,12.1,418,419,9.39,-20.381915,115.5774317,NE Montebello,Fished,30/10/2014 09:39:00,Y,5.5,ET,02/02/2015,ET,27/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB572,-20.38769167,115.581155,20141030,9:44:00,NE.Montebello,Fished,13,11.9,Katrina,Yes,Yes,NA,Katrina,Emma,5.5,30/10/2014 09:44:00,NCB572,Montebello SANCTUARIES,30/10/2014,11.9,422,423,9.44,-20.38769167,115.581155,NE Montebello,Fished,30/10/2014 09:44:00,Y,5.5,ET,04/02/2015,TB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB573,-20.39332,115.584035,20141030,9:46:00,NE.Montebello,Fished,13,11.5,ET,Yes,Yes,NA,ET,Katrina,5,30/10/2014 09:46:00,NCB573,Montebello SANCTUARIES,30/10/2014,11.5,420,421,9.46,-20.39332,115.584035,NE Montebello,Fished,30/10/2014 09:46:00,Y,5,ET,04/02/2015,TB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB574,-20.39786,115.5876917,20141030,9:49:00,NE.Montebello,Fished,13,9.3,ET,Yes,Yes,NA,ET,Katrina,5,30/10/2014 09:49:00,NCB574,Montebello SANCTUARIES,30/10/2014,9.3,416,417,9.49,-20.39786,115.5876917,NE Montebello,Fished,30/10/2014 09:49:00,Y,5,ET,04/02/2015,TB,03/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB575,-20.40385167,115.5895183,20141030,9:51:00,NE.Montebello,Fished,13,9.7,ET,Yes,Yes,NA,ET,Katrina,7,30/10/2014 09:51:00,NCB575,Montebello SANCTUARIES,30/10/2014,9.7,B1,B2,9.51,-20.40385167,115.5895183,NE Montebello,Fished,30/10/2014 09:51:00,Y,7,ET,05/02/2015,MB,25/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB576,-20.40757833,115.5935383,20141030,9:54:00,NE.Montebello,Fished,13,11.8,ET,Yes,No,NA,ET,NA,7,30/10/2014 09:54:00,NCB576,Montebello SANCTUARIES,30/10/2014,11.8,367,368,9.54,-20.40757833,115.5935383,NE Montebello,Fished,30/10/2014 09:54:00,Y,7,ET,05/02/2015,TB,NA,NA,NA,Right cam fail,NA,NA,1411_NCB_B_CONV9
NCB577,-20.41234333,115.5955617,20141030,9:56:00,NE.Montebello,Fished,14,11.1,ET,Yes,Yes,NA,ET,Katrina,7.5,30/10/2014 09:56:00,NCB577,Montebello SANCTUARIES,30/10/2014,11.1,373,374,9.56,-20.41234333,115.5955617,NE Montebello,Fished,30/10/2014 09:56:00,Y,7.5,ET,09/02/2015,KB,02/03/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB578,-20.41755667,115.598655,20141030,10:00:00,NE.Montebello,Fished,14,8.7,Matt,Yes,Yes,NA,Matt,Emma,6.5,30/10/2014 10:00:00,NCB578,Montebello SANCTUARIES,30/10/2014,8.7,375,376,10,-20.41755667,115.598655,NE Montebello,Fished,30/10/2014 10:00:00,Y,6.5,ET,06/02/2015,ET,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB579,-20.421535,115.6040733,20141030,10:02:00,NE.Montebello,Fished,14,9.5,Katrina,Yes,Yes,NA,Katrina,Emma,6,30/10/2014 10:02:00,NCB579,Montebello SANCTUARIES,30/10/2014,9.5,377,378,10.02,-20.421535,115.6040733,NE Montebello,Fished,30/10/2014 10:02:00,Y,6,ET,06/02/2015,TB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV9
NCB580,-20.42809333,115.604955,20141030,10:05:00,NE.Montebello,Fished,14,10.7,Matt,Yes,No,NA,Matt,N\A,7,30/10/2014 10:05:00,NCB580,Montebello SANCTUARIES,30/10/2014,10.7,371,372,10.05,-20.42809333,115.604955,NE Montebello,Fished,30/10/2014 10:05:00,Y,7,ET,06/02/2015,TB,NA,Change Lutjanus sp10 to K. vaigiensis,NA,Right cam fail,NA,NA,1411_NCB_B_CONV9
