Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,MaxN Analyst,Length Analyst,Visibility,DateTimeIn,OpCode_1,COMPONENT,Date Deployed dd/mm/yyy,Depth (m),Left Cam,Right Cam,Time In,Latitude_1,Longitude_1,Location_1,Status_1,DateTimeIn_1,Habitat Image,Vis (m),Habitat Classification,MaxN.complete.(dd/mm/yy),MaxN.Checker,Length complete Date dd/mm/yyyy,QA/QC video specific changes,Notes,Footage Success,Video notes,Raw HDD #,Con HDD #
NCB521,-20.61335667,115.4360017,20141029,8:12:00,SW.Montebello,Fished,1,10.6,Matt,Yes,Yes,NA,Matt,Todd,4,29/10/2014 08:12:00,NCB521,Montebello SANCTUARIES,29/10/2014,10.6,422,423,8.12,-20.61335667,115.4360017,SW Montebello,Fished,29/10/2014 08:12:00,Y,4,ET,10/02/2015,TB,24/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB522,-20.60826167,115.436625,20141029,8:15:00,SW.Montebello,Fished,1,10.6,Matt,Yes,Yes,NA,Matt,Todd,4.5,29/10/2014 08:15:00,NCB522,Montebello SANCTUARIES,29/10/2014,10.6,418,419,8.15,-20.60826167,115.436625,SW Montebello,Fished,29/10/2014 08:15:00,Y,4.5,ET,18/02/2015,TB,26/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB523,-20.60332833,115.4357583,20141029,8:19:00,SW.Montebello,Fished,1,11.4,NA,No,No,NA,NA,NA,NA,29/10/2014 08:19:00,NCB523,Montebello SANCTUARIES,29/10/2014,11.4,420,421,8.19,-20.60332833,115.4357583,SW Montebello,Fished,29/10/2014 08:19:00,NA,NA,NA,NA,NA,NA,NA,Facing Up,NA,Facing up,NA,1411_NCB_B_CONV10
NCB524,-20.60011333,115.43557,20141029,8:02:00,SW.Montebello,Fished,1,11.6,Katrina,Yes,Yes,NA,Katrina,ET,5,29/10/2014 08:02:00,NCB524,Montebello SANCTUARIES,29/10/2014,11.6,416,417,8.2,-20.60011333,115.43557,SW Montebello,Fished,29/10/2014 08:02:00,Y,5,ET,19/02/2015,MB,24/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB525,-20.59529333,115.434155,20141029,8:28:00,SW.Montebello,Fished,1,10.8,Katrina,Yes,Yes,NA,Katrina,ET,5,29/10/2014 08:28:00,NCB525,Montebello SANCTUARIES,29/10/2014,10.8,373,374,8.28,-20.59529333,115.434155,SW Montebello,Fished,29/10/2014 08:28:00,Y,5,ET,17/06/2015,MB,24/05/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB526,-20.58786,115.4324067,20141029,8:32:00,SW.Montebello,Fished,1,11.3,Katrina,Yes,Yes,NA,Katrina,ET,7,29/10/2014 08:32:00,NCB526,Montebello SANCTUARIES,29/10/2014,11.3,367,368,8.32,-20.58786,115.4324067,SW Montebello,Fished,29/10/2014 08:32:00,Y,7,ET,17/02/2015,MB,24/05/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB527,-20.58033333,115.4315317,20141029,8:38:00,SW.Montebello,Fished,2,12.1,Katrina,Yes,Yes,NA,Katrina,ET,4.5,29/10/2014 08:38:00,NCB527,Montebello SANCTUARIES,29/10/2014,12.1,B1,B2,8.38,-20.58033333,115.4315317,SW Montebello,Fished,29/10/2014 08:38:00,Y,4.5,ET,17/02/2015,MB,24/05/2015,NA,NA,NA,Fogs up at 30 min then clears,NA,1411_NCB_B_CONV10
NCB528,-20.57413833,115.4307717,20141029,8:41:00,SW.Montebello,Fished,2,11.3,Katrina,Yes,Yes,NA,Katrina,ET,4.5,29/10/2014 08:41:00,NCB528,Montebello SANCTUARIES,29/10/2014,11.3,377,378,8.41,-20.57413833,115.4307717,SW Montebello,Fished,29/10/2014 08:41:00,Y,4.5,ET,16/02/2015,MB,24/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB529,-20.565655,115.4304983,20141029,8:48:00,SW.Montebello,Fished,2,11.6,Katrina,Yes,Yes,NA,Katrina,ET,4,29/10/2014 08:48:00,NCB529,Montebello SANCTUARIES,29/10/2014,11.6,375,376,8.48,-20.565655,115.4304983,SW Montebello,Fished,29/10/2014 08:48:00,Y,4,ET,16/02/2015,MB,24/02/2015,NA,NA,NA,NA,NA,1411_NCB_B_CONV10
NCB530,-20.56051,115.4304067,20141029,8:55:00,SW.Montebello,Fished,2,11.1,Katrina,Yes,Yes,NA,Katrina,ET,4,29/10/2014 08:55:00,NCB530,Montebello SANCTUARIES,29/10/2014,11.1,371,372,8.55,-20.56051,115.4304067,SW Montebello,Fished,29/10/2014 08:55:00,Y,4,ET,16/02/2015,MB,24/02/2015,Changed S. virgatus to S. doliatus. as they often form hybrids....,NA,NA,NA,NA,1411_NCB_B_CONV10
