,depth,mean.relief,biota.consolidated,mesophotic.reef,photic.reef,roughness,detrended
greater than legal size,-0.028,0.806,0.096,0.022,0.407,0.08,0.028
smaller than legal size,-0.572,0.019,0.003,-0.425,0.005,-0.382,0.003
