"","depth","mean.relief","biota.consolidated","mesophotic.reef","photic.reef","roughness","detrended"
"total.abundance",0.225,0.304,0.212,0.13,0.312,0.278,0.039
"species.richness",0,1,0,0,0.239,0,0
