"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","mean.relief","biota.consolidated","mesophotic.reef","photic.reef","roughness","detrended","cumsum.wi"
"greater than legal size.mean.relief","mean.relief",546.710284709261,555.956199479653,0.1991,NA,2.92,0,0,0,0.463,0.711,0,1,0,0,0,0,0,0.463
"greater than legal size.mean.relief+photic.reef","mean.relief+photic.reef",547.310178155433,558.909575030958,0.26452,NA,4.19,0,0.6,2.953,0.343,0.162,0,1,0,0,1,0,0,0.806
"smaller than legal size.depth","depth",263.755546863345,272.486502108346,0.21088,NA,2.44,0,0,0,0.312,0.591,1,0,0,0,0,0,0,0.312
"smaller than legal size.depth+mesophotic.reef","depth+mesophotic.reef",264.120439847523,276.15684008097,0.27319,NA,4.36,0,0.365,3.67,0.26,0.094,1,0,0,1,0,0,0,0.572
"smaller than legal size.depth+roughness","depth+roughness",264.483128868734,274.891233093173,0.21591,NA,3.47,0,0.728,2.405,0.217,0.178,1,0,0,0,0,1,0,0.789
"smaller than legal size.depth+mesophotic.reef+roughness","depth+mesophotic.reef+roughness",265.03160098124,278.490424446695,0.28175,NA,5.36,0,1.276,6.004,0.165,0.029,1,0,0,1,0,1,0,0.954
