"campaignid","sample","family","genus","species","maxn"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Pomacentridae","Chromis","fumea",36
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Pomacentridae","Pomacentrus","coelestis",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Serranidae","Epinephelus","rivulatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Balistidae","Sufflamen","chrysopterum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Carangidae","Caranx","ignobilis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Carcharhinidae","Carcharhinus","amblyrhynchos",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Echeneidae","Echeneis","naucrates",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Ginglymostomatidae","Nebrius","ferrugineus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Labridae","Halichoeres","nebulosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Labridae","Leptojulis","cyanopleura",17
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Nemipteridae","Pentapodus","emeryii",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Pomacentridae","Pomacentrus","coelestis",11
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Serranidae","Epinephelus","rivulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB528","Tetraodontidae","Arothron","caeruleopunctatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Balistidae","Abalistes","stellatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Balistidae","Sufflamen","fraenatum",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Blenniidae","Plagiotremus","rhinorhynchos",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Chaetodontidae","Chelmon","marginalis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Labridae","Anampses","lennardi",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Labridae","Halichoeres","nebulosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Labridae","Labroides","dimidiatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Labridae","Thalassoma","lunare",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Lethrinidae","Lethrinus","atkinsoni",5
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Lethrinidae","Lethrinus","nebulosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Lethrinidae","Lethrinus","ravus",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Lutjanidae","Symphorus","nematophorus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Muraenidae","Gymnothorax","undulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Nemipteridae","Pentapodus","emeryii",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Pomacanthidae","Chaetodontoplus","duboulayi",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Pomacentridae","Chromis","fumea",38
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Pomacentridae","Pomacentrus","coelestis",10
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Pomacentridae","Pomacentrus","nagasakiensis",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Scaridae","Scarus","sp3",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Serranidae","Epinephelus","rivulatus",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB529","Serranidae","Plectropomus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Acanthuridae","Acanthurus","grammoptilus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Balistidae","Pseudobalistes","fuscus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Balistidae","Sufflamen","chrysopterum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Balistidae","Sufflamen","fraenatum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Carangidae","Carangoides","fulvoguttatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Carangidae","Gnathanodon","speciosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Chaetodontidae","Chelmon","marginalis",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Echeneidae","Echeneis","naucrates",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Ginglymostomatidae","Nebrius","ferrugineus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Labridae","Bodianus","bilunulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Labridae","Labroides","dimidiatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Lethrinidae","Lethrinus","atkinsoni",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Lutjanidae","Lutjanus","lemniscatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Lutjanidae","Lutjanus","sebae",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Nemipteridae","Pentapodus","emeryii",6
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Pomacanthidae","Chaetodontoplus","duboulayi",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Pomacanthidae","Pomacanthus","semicirculatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Pomacentridae","Pomacentrus","coelestis",7
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Pomacentridae","Pomacentrus","nagasakiensis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Scaridae","Chlorurus","microrhinos",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Scaridae","Scarus","chameleon",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Scaridae","Scarus","sp3",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Scombridae","Sarda","orientalis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Serranidae","Plectropomus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Siganidae","Siganus","doliatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Tetraodontidae","Feroxodon","multistriatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Balistidae","Sufflamen","chrysopterum",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Carangidae","Carangoides","caeruleopinnatus",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Carangidae","Carangoides","fulvoguttatus",5
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Carangidae","Carangoides","orthogrammus",7
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Carangidae","Gnathanodon","speciosus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Carcharhinidae","Carcharhinus","amblyrhynchos",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Echeneidae","Echeneis","naucrates",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Haemulidae","Diagramma","pictum labiosum",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Kyphosidae","Kyphosus","vaigiensis",30
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Labridae","Choerodon","schoenleinii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Lethrinidae","Lethrinus","atkinsoni",11
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Lethrinidae","Lethrinus","nebulosus",7
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Lutjanidae","Lutjanus","carponotatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Lutjanidae","Lutjanus","lemniscatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Lutjanidae","Lutjanus","russellii",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Lutjanidae","Lutjanus","sebae",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Nemipteridae","Pentapodus","emeryii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Nemipteridae","Scolopsis","monogramma",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Pomacanthidae","Pomacanthus","semicirculatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Pomacanthidae","Pomacanthus","sexstriatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Serranidae","Epinephelus","bilobatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB531","Serranidae","Epinephelus","malabaricus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB532","Echeneidae","Echeneis","naucrates",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB532","Sphyrnidae","Sphyrna","mokarran",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB532","Tetraodontidae","Lagocephalus","sceleratus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB532","Tetraodontidae","Torquigener","pallimaculatus",17
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533","Carangidae","Caranx","ignobilis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533","Echeneidae","Echeneis","naucrates",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533","Rhinidae","Rhynchobatus","australiae",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB533","Tetraodontidae","Torquigener","pallimaculatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Carangidae","Carangoides","fulvoguttatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Carangidae","Caranx","ignobilis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Echeneidae","Echeneis","naucrates",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Ginglymostomatidae","Nebrius","ferrugineus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Haemulidae","Diagramma","pictum labiosum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Labridae","Choerodon","cauteroma",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Labridae","Choerodon","schoenleinii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Lethrinidae","Lethrinus","atkinsoni",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Lethrinidae","Lethrinus","nebulosus",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Lethrinidae","Lethrinus","olivaceus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Mullidae","Parupeneus","indicus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Nemipteridae","Pentapodus","emeryii",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Nemipteridae","Scolopsis","monogramma",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB534","Serranidae","Plectropomus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB535","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB535","Scombridae","Scomberomorus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB535","Tetraodontidae","Lagocephalus","sceleratus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Carcharhinidae","Carcharhinus","amblyrhynchos",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Echeneidae","Echeneis","naucrates",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Labridae","Choerodon","cephalotes",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Nemipteridae","Nemipterus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB536","Tetraodontidae","Feroxodon","multistriatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Choerodon","schoenleinii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Coris","caudimacula",13
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Halichoeres","nebulosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Labroides","dimidiatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Macropharyngodon","negrosensis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Labridae","Pteragogus","flagellifer",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Lethrinidae","Lethrinus","nebulosus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Lethrinidae","Lethrinus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Mullidae","Parupeneus","barberinoides",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Muraenidae","Gymnothorax","undulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Nemipteridae","Pentapodus","emeryii",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB537","Pomacentridae","Pomacentrus","coelestis",14
