"campaignid","sample","family","genus","species","maxn"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Balistidae","Sufflamen","chrysopterum",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Blenniidae","Plagiotremus","rhinorhynchos",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Carangidae","Carangoides","fulvoguttatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Carangidae","Gnathanodon","speciosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Echeneidae","Echeneis","naucrates",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Ephippidae","Platax","batavianus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Ginglymostomatidae","Nebrius","ferrugineus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Labridae","Halichoeres","nebulosus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Labridae","Labroides","dimidiatus",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Labridae","Leptojulis","cyanopleura",10
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Lethrinidae","Lethrinus","atkinsoni",6
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Muraenidae","Gymnothorax","undulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Nemipteridae","Nemipterus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Nemipteridae","Pentapodus","emeryii",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Nemipteridae","Scolopsis","monogramma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Pomacentridae","Pomacentrus","coelestis",42
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Pomacentridae","Pomacentrus","nagasakiensis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Scombridae","Scomberomorus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Serranidae","Epinephelus","bilobatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Serranidae","Epinephelus","rivulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB521","Tetraodontidae","Feroxodon","multistriatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Balistidae","Sufflamen","chrysopterum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Carangidae","Atule","mate",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Carangidae","Carangoides","fulvoguttatus",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Carangidae","Caranx","ignobilis",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Echeneidae","Echeneis","naucrates",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Hydrophiidae","Unknown","sp10",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Labridae","Coris","caudimacula",5
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Labridae","Halichoeres","marginatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Labridae","Halichoeres","nebulosus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Labridae","Labroides","dimidiatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Labridae","Leptojulis","cyanopleura",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Lutjanidae","Symphorus","nematophorus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Mullidae","Parupeneus","barberinoides",9
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Nemipteridae","Nemipterus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Nemipteridae","Pentapodus","emeryii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Nemipteridae","Scolopsis","monogramma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Pomacentridae","Pomacentrus","coelestis",6
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Pomacentridae","Pomacentrus","nagasakiensis",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Rhinidae","Rhynchobatus","australiae",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Scombridae","Scomberomorus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Serranidae","Epinephelus","fasciatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB522","Serranidae","Epinephelus","rivulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Balistidae","Abalistes","stellatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Balistidae","Sufflamen","chrysopterum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Balistidae","Sufflamen","fraenatum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Carangidae","Carangoides","fulvoguttatus",5
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Dasyatidae","Pateobatis","fai",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Haemulidae","Plectorhinchus","flavomaculatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Cheilio","inermis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Coris","caudimacula",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Labroides","dimidiatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Leptojulis","cyanopleura",8
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Labridae","Thalassoma","lunare",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Mullidae","Parupeneus","barberinoides",17
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Mullidae","Parupeneus","indicus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Nemipteridae","Nemipterus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Nemipteridae","Pentapodus","emeryii",6
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Nemipteridae","Scolopsis","monogramma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Pomacentridae","Chromis","fumea",69
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Pomacentridae","Pomacentrus","coelestis",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Scaridae","Scarus","sp3",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Serranidae","Epinephelus","rivulatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB524","Siganidae","Siganus","fuscescens",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Balistidae","Sufflamen","chrysopterum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Blenniidae","Plagiotremus","rhinorhynchos",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Carangidae","Carangoides","fulvoguttatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Chaetodontidae","Chelmon","marginalis",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Cirrhilabrus","temminckii",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Coris","caudimacula",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Halichoeres","nebulosus",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Labroides","dimidiatus",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Thalassoma","lunare",4
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Lutjanidae","Lutjanus","sebae",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Mullidae","Parupeneus","barberinoides",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Nemipteridae","Pentapodus","emeryii",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Nemipteridae","Scolopsis","monogramma",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Pomacentridae","Chromis","fumea",53
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Pomacentridae","Pomacentrus","coelestis",11
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Pomacentridae","Pomacentrus","nagasakiensis",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Scombridae","Scomberomorus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Serranidae","Epinephelus","rivulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Sphyraenidae","Sphyraena","qenie",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Acanthuridae","Acanthurus","grammoptilus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Cheilinus","chlorourus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Cheilio","inermis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Choerodon","schoenleinii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Coris","caudimacula",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Halichoeres","nebulosus",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Labroides","dimidiatus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Pteragogus","flagellifer",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Thalassoma","lunare",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Labridae","Thalassoma","lutescens",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Lethrinidae","Lethrinus","atkinsoni",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Mullidae","Parupeneus","barberinoides",3
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Nemipteridae","Pentapodus","emeryii",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Nemipteridae","Scolopsis","monogramma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Pomacentridae","Pomacentrus","nagasakiensis",8
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Scaridae","Scarus","sp3",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Serranidae","Epinephelus","rivulatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Serranidae","Plectropomus","spp",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Balistidae","Sufflamen","fraenatum",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Blenniidae","Plagiotremus","rhinorhynchos",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Carcharhinidae","Carcharhinus","amboinensis",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Echeneidae","Echeneis","naucrates",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Ephippidae","Platax","batavianus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Labridae","Choerodon","cauteroma",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Labridae","Choerodon","cyanodus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Labridae","Halichoeres","nebulosus",2
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Labridae","Labroides","dimidiatus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Labridae","Leptojulis","cyanopleura",38
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Lethrinidae","Lethrinus","atkinsoni",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Lethrinidae","Lethrinus","ravus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Lutjanidae","Symphorus","nematophorus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Nemipteridae","Pentapodus","emeryii",5
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Nemipteridae","Pentapodus","porosus",1
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB527","Nemipteridae","Scolopsis","monogramma",1
