"scientific","australian.common.name","fishing.type"
"Choerodon cephalotes","Purple tuskfish","B/R"
"Aprion virescens","Green jobfish","R"
"Lutjanus lemniscatus","Darktail snapper","C/R"
"Symphorus nematophorus","Chinamanfish","C/R"
"Epinephelus multinotatus","Rankin cod","C/R"
"Epinephelus rivulatus","Chinaman rockcod","R"
"Lethrinus punctulatus","Bluespotted emperor","C/R"
"Sarda orientalis","Oriental bonito","R"
"Ulua mentalis","Longraker trevally","B/C/R"
"Choerodon schoenleinii","Blackspot tuskfish","R"
"Lethrinus atkinsoni","Yellowtail emperor","C/R"
"Lethrinus nebulosus","Spangled emperor","C/R"
"Lutjanus carponotatus","Stripey snapper","R"
"Epinephelus malabaricus","Blackspotted rockcod","C/R"
"Gymnocranius grandoculis","Robinson's seabream","C/R"
"Variola albimarginata","White-edge coronation trout","C/R"
"Choerodon cauteroma","Bluespotted tuskfish","B/R"
"Lethrinus olivaceus","Longnose emperor","C/R"
"Variola louti","Yellowedge coronation trout","C/R"
"Lutjanus erythropterus","Crimson snapper","C/R"
"Lutjanus malabaricus","Saddletail snapper","C/R"
"Lutjanus sebae","Red emperor","C/R"
"Gymnosarda unicolor","Dogtooth tuna","C/R"
"Epinephelus coioides","Goldspotted rockcod","C/R"
"Lethrinus miniatus","Redthroat emperor","C/R"
"Epinephelus polyphekadion","Camouflage grouper","R"
"Carcharhinus albimarginatus","Silvertip shark","C/R"
