resp.var,depth,mean.relief,sd.relief,mesophotic.reef,photic.reef,tpi,roughness,detrended,status
total.abundance,-0.434,0.902,0.017,0,0.014,0.276,0.211,0.291,-0.218
species.richness,0.081,0.919,0,0,0,0.376,0.274,0.293,-0.37
